Nr,Quelle,Kategorie,Region,Sprache,Prioritaet,Feed_Typ,URL,Feed_URL_oder_Zugang,Beschreibung
24,BVMed,Verband,DE,DE,Hoch,Newsletter/RSS,https://www.bvmed.de,https://www.bvmed.de/de/service/rss-feeds,"Bundesverband Medizintechnologie. Deutschsprachig, tagesaktuell, politisch/regulatorisch top. Newsletter + RSS."
25,MedTech Europe,Verband,EU,EN,Hoch,Newsletter/Scraping,https://www.medtecheurope.org,,"Europ. Branchendachverband: Positionspapiere, Studien, fruehe Einordnung zu EU-Regulierung und MDCG-Themen."
26,RAPS (Organisation),Verband,Global,EN,Mittel,Newsletter,https://www.raps.org,,"Berufsorganisation Regulatory Affairs (RAC-Zertifizierung). Weiterbildung und Standards des Berufsstands."
27,DGRA,Verband,DE,DE,Mittel,Scraping,https://www.dgra.de,,"Deutsche Gesellschaft fuer Regulatory Affairs - DACH-Fokus, Fortbildung, Masterstudiengang."
28,VDGH,Verband,DE,DE,Mittel,Newsletter,https://www.vdgh.de,,"Verband der Diagnostica-Industrie - speziell IVD/Labordiagnostik."
29,SPECTARIS,Verband,DE,DE,Niedrig,Newsletter,https://www.spectaris.de,,"Deutscher Industrieverband (u.a. Medizintechnik-Segment)."
30,ZVEI,Verband,DE,DE,Niedrig,Newsletter,https://www.zvei.org,,"Verband der Elektro- und Digitalindustrie - Elektromedizin."
31,RAPS Regulatory Focus,Medien/Intelligence,Global,EN,Hoch,RSS/Newsletter,https://www.raps.org/news-insights/regulatory-focus.html,https://www.raps.org/news-and-articles/news-articles?DocumentTags=RSS,"Tagesaktuelles, redaktionell hochwertiges Nachrichtenportal (EU, FDA, international). Kernquelle."
32,Johner Institut - Blog & Wiki,Medien/Intelligence,DE,DE,Hoch,RSS,https://www.johner-institut.de/blog/,https://www.johner-institut.de/blog/feed/,"Herausragend praxisnah zu Software (IEC 62304), KI, Usability, MDR/IVDR. Top-Empfehlung fuer Design Assurance/Software (DE)."
33,Emergo by UL - Blog & Resources,Medien/Intelligence,Global,EN,Hoch,RSS/Scraping,https://www.emergobyul.com/news,,"Exzellente kostenlose Laenderuebersichten zur weltweiten Medizinprodukte-Regulierung. Pragmatischer Einstieg je Land."
34,BSI - Compliance Navigator / Blog,Medien/Intelligence,UK,EN,Mittel,Newsletter/Scraping,https://www.bsigroup.com,,"Benannte Stelle + Normung. Gute Einordnungen zu MDR, ISO 13485 und KI aus Zertifizierer-Sicht."
35,MedTech Dive,Medien,US,EN,Mittel,RSS/Newsletter,https://www.medtechdive.com,https://www.medtechdive.com/feeds/news/,"Branchennachrichten mit gutem kostenlosem Newsletter und RSS-Feed."
36,MassDevice,Medien,US,EN,Niedrig,RSS,https://www.massdevice.com,https://www.massdevice.com/feed/,"US-lastige Branchennachrichten."
37,Medical Design & Outsourcing,Medien,US,EN,Niedrig,RSS,https://www.medicaldesignandoutsourcing.com,https://www.medicaldesignandoutsourcing.com/feed/,"Produktentwicklungs-/ingenieursnah - Schnittstelle Design Assurance zu Regulierung."
38,MedTech Insight (Citeline),Medien,Global,EN,Niedrig,Paid,https://insights.citeline.com,,"Tiefgehende Branchenanalyse - kostenpflichtig."
39,EU AI Act / AI Office,Spezial (KI),EU,EN,Hoch,Scraping,https://digital-strategy.ec.europa.eu/en/policies/ai-office,,"KI-Medizinprodukte = Hochrisiko. MDR und AI Act greifen ineinander - muss ins Monitoring."
40,FDA Cybersecurity (Devices),Spezial (Security),US,EN,Mittel,Scraping,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,,"Premarket/Postmarket Cybersecurity-Guidance fuer vernetzte Produkte."
41,BSI - Bundesamt f. Sicherheit i.d. Informationstechnik,Spezial (Security),DE,DE,Mittel,RSS/Newsletter,https://www.bsi.bund.de,,"Deutsche Cybersecurity-Rahmenwerke - relevant fuer vernetzte Medizinprodukte."
42,FDA QMSR (21 CFR 820 Angleichung ISO 13485),Spezial (QM),US,EN,Hoch,Scraping,https://www.fda.gov/medical-devices/quality-and-compliance-medical-devices,,"Angleichung 21 CFR 820 an ISO 13485 - wirksam Anfang Februar 2026. Direkt QM-relevant, eng verfolgen."
43,MDSAP,Spezial (QM),Global,EN,Mittel,Scraping,https://www.fda.gov/medical-devices/quality-and-compliance-medical-devices/medical-device-single-audit-program-mdsap,,"Updates zum Multi-Laender-Auditprogramm."
